season_id,date,match_id,home_team_id,away_team_id,old_home_elo,old_away_elo,new_home_elo,new_away_elo,delta_home,delta_away,player_team_id,Player,player_rating,is_home,sign,rating,contribution_pct,beta_mean
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,461,O. Watkins,5.5,True,1,5.5,0.14493974512994498,1.4264654336080815
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,David Raya,7.6,False,-1,-7.6,0.1372628166186081,1.350910773650011
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,B. White,6.8,False,-1,-6.8,0.13738222222976598,1.35208593769313
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,W. Saliba,8.0,False,-1,-8.0,0.1381614751345879,1.359755175221943
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,Gabriel Magalhães,6.9,False,-1,-6.9,0.14573695322170424,1.4343113821797981
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,J. Timber,6.4,False,-1,-6.4,0.1559736155797417,1.5350583856753948
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,M. Odegaard,6.8,False,-1,-6.8,0.14224108120829726,1.3999057705032212
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,T. Partey,7.7,False,-1,-7.7,0.15106351807950427,1.4867342744838463
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,D. Rice,7.4,False,-1,-7.4,0.1215706302313538,1.1964716897459724
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,B. Saka,7.2,False,-1,-7.2,0.13911217156025568,1.3691117225779081
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,K. Havertz,5.8,False,-1,-5.8,0.14156447865797042,1.3932467954272885
72764,2024-08-24,3356608,461,467,1862.164715536732,2062.7682490693096,1846.0036408224921,2078.9293237835495,-16.161074714240012,16.161074714240012,467,G. Martinelli,6.3,False,-1,-6.3,0.13862394596011068,1.3643067124560468
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,M. Hermansen,6.8,True,1,6.8,0.16998139289060682,1.6729198819662447
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,J. Justin,6.3,True,1,6.3,0.16657517532125218,1.6393966298197975
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,W. Faes,6.5,True,1,6.5,0.17026365471361687,1.6756978414099437
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,C. Okoli,6.3,True,1,6.3,0.15685829084428515,1.5437651671293562
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,V. Kristiansen,6.7,True,1,6.7,0.16119556244797956,1.5864516504903767
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,H. Winks,6.7,True,1,6.7,0.14889301832699903,1.4653726882065434
72764,2024-08-31,3356622,489,461,1640.443504349905,1846.0036408224921,1629.8656613108224,1856.5814838615747,-10.57784303908267,10.577843039082671,489,O. Skipp,6.1,True,1,6.1,0.16770696271507426,1.6505354350801016
