,Unnamed: 0,season_id,date,match_id,home_team_id,away_team_id,old_home_elo,old_away_elo,new_home_elo,new_away_elo,delta_home,delta_away,player_team_id,Player,player_rating,is_home,sign,rating,contribution_pct,beta_mean
0,397,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,S. Johnstone,6.4,True,1,6.4,0.14534114784523822,1.4308511519857476
1,398,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,Nélson Semedo,6.0,True,1,6.0,0.15651678699435564,1.5408728243597598
2,399,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,Y. Mosquera,6.5,True,1,6.5,0.1501908339663991,1.478595229118132
3,400,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,C. Dawson,5.5,True,1,5.5,0.16130456841809696,1.5880074635667576
4,401,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,R. Aït-Nouri,6.4,True,1,6.4,0.14450186324039754,1.4225885824279585
5,402,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,M. Lemina,8.1,True,1,8.1,0.14770032618224713,1.4540767360085423
6,403,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,André,6.485286783042394,True,1,6.485286783042394,0.15750481607870878,1.550599750109978
7,404,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,João Gomes,6.6,True,1,6.6,0.17303865921018735,1.7035269676871319
8,405,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,J. Bellegarde,6.3,True,1,6.3,0.1578649106114916,1.5541448003912977
9,406,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,Matheus Cunha,6.5,True,1,6.5,0.15491316722953813,1.5250855457958152
10,407,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,459,J. Strand Larsen,6.3,True,1,6.3,0.15973539717143964,1.5725593229731982
11,408,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,N. Pope,7.2,False,-1,-7.2,0.14886876096661752,1.4655797155984436
12,409,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,V. Livramento,6.0,False,-1,-6.0,0.14785435612766315,1.4555931264327702
13,410,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,F. Schär,7.3,False,-1,-7.3,0.14905492571745557,1.4674124660077044
14,411,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,D. Burn,7.0,False,-1,-7.0,0.15477279701259816,1.5237036323487927
15,412,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,L. Hall,7.6,False,-1,-7.6,0.1550457249369924,1.526390546831155
16,413,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,S. Longstaff,6.0,False,-1,-6.0,0.1636468943691205,1.6110671396119536
17,414,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,B. Guimaraes,6.8,False,-1,-6.8,0.15126300394192124,1.4891505031567955
18,415,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,Joelinton,6.2,False,-1,-6.2,0.1456762094670134,1.4341497588469905
19,416,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,J. Murphy,6.1,False,-1,-6.1,0.15979926867539354,1.5731881236698106
20,417,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,A. Isak,5.7,False,-1,-5.7,0.14301777409626726,1.4079780561385316
21,418,72764,2024-09-15,3356636,459,466,1672.5604411352008,1874.756980180245,1661.849625934913,1885.4677953805324,-10.710815200287758,10.71081520028776,466,A. Gordon,6.9,False,-1,-6.9,0.1466523450082651,1.4437595953207019
22,419,72764,2024-09-28,3356656,459,462,1655.0605084994424,2004.508812749153,1649.2952623716494,2010.2740588769464,-5.765246127792968,5.765246127792968,459,S. Johnstone,6.7,True,1,6.7,0.14534114784523822,1.4308511519857476
