,season_id,date,match_id,home_team_id,away_team_id,old_home_elo,old_away_elo,new_home_elo,new_away_elo,delta_home,delta_away,player_team_id,Player,player_rating,is_home,sign,rating
1536,72764,2024-12-04,3356729,461,500,1822.9324365831658,1754.6429659029654,1835.313255611742,1742.2621468743891,12.38081902857627,-12.38081902857627,500,V. Janelt,5.6,False,-1,-5.6
1537,72764,2024-12-04,3356729,461,500,1822.9324365831658,1754.6429659029654,1835.313255611742,1742.2621468743891,12.38081902857627,-12.38081902857627,500,M. Damsgaard,7.6,False,-1,-7.6
1538,72764,2024-12-04,3356729,461,500,1822.9324365831658,1754.6429659029654,1835.313255611742,1742.2621468743891,12.38081902857627,-12.38081902857627,500,B. Mbeumo,6.1,False,-1,-6.1
1539,72764,2024-12-04,3356729,461,500,1822.9324365831658,1754.6429659029654,1835.313255611742,1742.2621468743891,12.38081902857627,-12.38081902857627,500,Y. Wissa,5.5,False,-1,-5.5
1540,72764,2024-12-04,3356729,461,500,1822.9324365831658,1754.6429659029654,1835.313255611742,1742.2621468743891,12.38081902857627,-12.38081902857627,500,K. Schade,5.8,False,-1,-5.8
1541,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,E. Martínez,6.2,True,1,6.2
1542,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,E. Konsa,7.0,True,1,7.0
1543,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,D.Carlos,6.9,True,1,6.9
1544,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,Pau Torres,6.9,True,1,6.9
1545,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,I. Maatsen,7.3,True,1,7.3
1546,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,B. Kamara,7.9,True,1,7.9
1547,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,Y. Tielemans,6.1,True,1,6.1
1548,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,L. Bailey,6.1,True,1,6.1
1549,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,J. McGinn,6.5,True,1,6.5
1550,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,M. Rogers,6.6,True,1,6.6
1551,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,461,J. Durán,7.5,True,1,7.5
1552,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,J. Lumley,6.6,False,-1,-6.6
1553,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,J. Bree,6.0,False,-1,-6.0
1554,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,T. Harwood-Bellis,6.3,False,-1,-6.3
1555,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,N. Wood-Gordon,6.6,False,-1,-6.6
1556,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,K. W-Peters,6.3,False,-1,-6.3
1557,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,R. Manning,6.3,False,-1,-6.3
1558,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,T. Dibling,6.2,False,-1,-6.2
1559,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,F. Downes,6.4,False,-1,-6.4
1560,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,Mateus Fernandes,6.255645161290323,False,-1,-6.255645161290323
1561,72764,2024-12-07,3356737,461,506,1835.313255611742,1538.480622240537,1838.086072141847,1535.7078057104322,2.7728165301049246,-2.7728165301049246,506,A. Armstrong,5.2,False,-1,-5.2
