Unnamed: 0,season_id,date,match_id,home_team_id,away_team_id,old_home_elo,old_away_elo,new_home_elo,new_away_elo,delta_home,delta_away,player_team_id,Player,player_rating,is_home,sign,rating,contribution_pct,beta_mean
0,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,A. Onana,8.2,True,1,8.2,0.1533357269132064,1.5095559980574458
1,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,A. W-Bissaka,7.6,True,1,7.6,0.15307689436144664,1.5070078493717671
2,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,R. Varane,7.4,True,1,7.4,0.14909618205318176,1.467818625422128
3,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,L. Martínez,6.1,True,1,6.1,0.14440418340127503,1.4216269462195872
4,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,L. Shaw,7.2,True,1,7.2,0.16122817572923795,1.5872553946002075
5,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,Casemiro,7.5,True,1,7.5,0.1454807641874876,1.4322256437047498
6,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,Antony,6.5,True,1,6.5,0.13188558944296272,1.2983841835742402
7,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,B. Fernandes,6.3,True,1,6.3,0.15398148210502466,1.515913313750988
8,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,M. Mount,5.8,True,1,5.8,0.14607060911593328,1.4380325353377932
9,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,A. Garnacho,6.2,True,1,6.2,0.15597082194821948,1.5354979203715258
10,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,475,M. Rashford,6.6,True,1,6.6,0.1590376487326632,1.565690145371253
11,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,José Sá,6.4,False,-1,-6.4,0.17206174337743313,1.6939094494177844
12,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,Nélson Semedo,6.9,False,-1,-6.9,0.15651678699435564,1.5408728243597598
13,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,C. Dawson,6.9,False,-1,-6.9,0.16130456841809696,1.5880074635667576
14,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,M. Kilman,6.5,False,-1,-6.5,0.1507467586127916,1.484068183147331
15,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,R. Aït-Nouri,6.1,False,-1,-6.1,0.14450186324039754,1.4225885824279585
16,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,Pedro Neto,7.2,False,-1,-7.2,0.15514982310534567,1.5274153700578608
17,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,João Gomes,7.0,False,-1,-7.0,0.17303865921018735,1.7035269676871319
18,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,M. Lemina,6.2,False,-1,-6.2,0.14770032618224713,1.4540767360085423
19,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,Matheus Nunes,7.6,False,-1,-7.6,0.1568579707499641,1.544231702261777
20,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,Pablo Sarabia,5.9,False,-1,-5.9,0.151054514139275,1.4870979675967262
21,68731,2023-08-14,3009117,475,459,1877.080444,1715.651001,1882.53127983718,1710.2001651628202,5.450835837179715,-5.450835837179715,459,Matheus Cunha,6.2,False,-1,-6.2,0.15491316722953813,1.5250855457958152
22,68731,2023-09-16,3009157,459,462,1696.206212465411,1974.546519114132,1684.3378231707486,1986.4149084087944,-11.8683892946623,11.8683892946623,459,José Sá,5.8,True,1,5.8,0.17206174337743313,1.6939094494177844
23,68731,2023-09-16,3009157,459,462,1696.206212465411,1974.546519114132,1684.3378231707486,1986.4149084087944,-11.8683892946623,11.8683892946623,459,Nélson Semedo,6.7,True,1,6.7,0.15651678699435564,1.5408728243597598
24,68731,2023-09-16,3009157,459,462,1696.206212465411,1974.546519114132,1684.3378231707486,1986.4149084087944,-11.8683892946623,11.8683892946623,459,C. Dawson,5.9,True,1,5.9,0.16130456841809696,1.5880074635667576
