season_id,match_id,date,home_team_id,away_team_id,old_home_elo,old_away_elo,new_home_elo,new_away_elo,delta_home,delta_away
68731,3009108,2023-08-11,492,464,1726.4185791,2080.86743164,1716.5619319002355,2090.7240788397644,-9.856647199764438,9.856647199764437
68731,3009114,2023-08-12,466,461,1887.082153,1816.943237,1902.4390321331364,1801.5863578668636,15.356879133136227,-15.356879133136227
68731,3009113,2023-08-12,480,508,1644.08129883,1757.40673828,1629.6563223701708,1771.831714739829,-14.424976459829114,14.424976459829114
68731,3009112,2023-08-12,473,460,1699.523682,1745.379028,1682.204811369241,1762.697898630759,-17.31887063075889,17.31887063075889
68731,3009111,2023-08-12,510,502,1832.391968,1602.344727,1839.2232295331978,1595.513465466802,6.8312615331978925,-6.8312615331978925
68731,3009110,2023-08-12,2169,496,1660.65661621,1777.576782,1661.386541523913,1776.8468566860872,0.7299253139128398,-0.7299253139128381
68731,3009109,2023-08-12,467,481,1921.475342,1671.890747,1925.0126475448176,1668.3534414551823,3.537305544817521,-3.537305544817521
68731,3009116,2023-08-13,471,462,1788.11755371,1943.996216,1790.5094414375285,1941.6043282724715,2.391887727528435,-2.3918877275284367
68731,3009115,2023-08-13,500,472,1824.3449707,1815.88818359,1819.8089071210748,1820.4242471689251,-4.536063578925251,4.536063578925251
68731,3009117,2023-08-14,475,459,1877.080444,1715.651001,1882.5312798371797,1710.2001651628202,5.450835837179715,-5.450835837179715
68731,3009124,2023-08-18,481,480,1668.3534414551823,1629.6563223701708,1677.6644470033316,1620.3453168220215,9.31100554814926,-9.31100554814926
68731,3009120,2023-08-19,460,500,1762.697898630759,1819.8089071210748,1733.223842078703,1849.2829636731308,-29.474056552055927,29.474056552055927
68731,3009121,2023-08-19,462,2169,1941.6043282724715,1661.386541523913,1946.138931907816,1656.8519378885685,4.534603635344406,-4.534603635344406
68731,3009123,2023-08-19,464,466,2090.7240788397644,1902.4390321331364,2095.5189440906975,1897.6441668822033,4.794865250932993,-4.794865250932993
68731,3009125,2023-08-19,472,475,1820.4242471689251,1882.5312798371797,1840.4799747650995,1862.4755522410053,20.05572759617439,-20.05572759617439
68731,3009127,2023-08-19,459,510,1710.2001651628202,1839.2232295331978,1686.1378750568356,1863.2855196391824,-24.062290105984637,24.062290105984637
68731,3009126,2023-08-20,496,471,1776.8468566860872,1790.5094414375285,1793.8679438856964,1773.4883542379193,17.021087199609255,-17.021087199609255
68731,3009118,2023-08-20,461,473,1801.5863578668636,1682.204811369241,1813.9884512678746,1669.8027179682301,12.402093401010982,-12.402093401010982
68731,3009119,2023-08-21,508,467,1771.831714739829,1925.0126475448176,1759.109955212817,1937.7344070718295,-12.721759527011951,12.72175952701195
68731,3009133,2023-08-25,471,502,1773.4883542379193,1595.513465466802,1782.3062731156024,1586.695546589119,8.817918877682983,-8.817918877682983
68731,3009129,2023-08-26,467,460,1937.7344070718295,1733.223842078703,1927.1648469228037,1743.7934022277288,-10.569560149025888,10.569560149025888
68731,3009128,2023-08-26,2169,472,1656.8519378885685,1840.4799747650995,1639.6654841525997,1857.6664285010684,-17.18645373596873,17.186453735968726
68731,3009130,2023-08-26,500,508,1849.2829636731308,1759.109955212817,1841.8048574754707,1766.5880614104772,-7.478106197660095,7.478106197660095
68731,3009131,2023-08-26,510,496,1863.2855196391824,1793.8679438856964,1830.6081444402084,1826.5453190846704,-32.67737519897393,32.67737519897393
68731,3009135,2023-08-26,475,481,1862.4755522410053,1677.6644470033316,1867.3515270862624,1672.7884721580745,4.875974845257204,-4.875974845257204
68731,3009134,2023-08-26,473,459,1669.8027179682301,1686.1378750568356,1651.2588534071529,1704.6817396179129,-18.543864561077335,18.543864561077335
68731,3009136,2023-08-27,466,462,1897.6441668822033,1946.138931907816,1880.4366544665706,1963.3464443234486,-17.207512415632657,17.207512415632657
68731,3009137,2023-08-27,480,464,1620.3453168220215,2095.5189440906975,1617.2423936969785,2098.62186721574,-3.1029231250428775,3.102923125042878
68731,3009132,2023-08-27,492,461,1716.5619319002355,1813.9884512678746,1693.8952758128505,1836.6551073552596,-22.666656087385093,22.666656087385093
68731,3009145,2023-09-01,502,496,1586.695546589119,1826.5453190846704,1577.4270931852411,1835.8137724885482,-9.268453403877919,9.26845340387792
68731,3009147,2023-09-02,480,473,1617.2423936969785,1651.2588534071529,1614.4274177297693,1654.073829374362,-2.814975967209162,2.814975967209162
68731,3009139,2023-09-02,500,2169,1841.8048574754707,1639.6654841525997,1831.2870887687839,1650.1832528592865,-10.517768706686828,10.517768706686828
68731,3009141,2023-09-02,492,472,1693.8952758128505,1857.6664285010684,1672.4100260573725,1879.1516782565463,-21.48524975547805,21.48524975547805
68731,3009142,2023-09-02,471,481,1782.3062731156024,1672.7884721580745,1759.21812713712,1695.8766181365568,-23.08814597848241,23.08814597848241
68731,3009140,2023-09-02,510,466,1830.6081444402084,1880.4366544665706,1849.8814260659074,1861.1633728408717,19.27328162569904,-19.27328162569904
68731,3009146,2023-09-02,464,460,2098.62186721574,1743.7934022277288,2102.4455199076033,1739.969749535866,3.8236526918629723,-3.8236526918629723
68731,3009138,2023-09-03,467,475,1927.1648469228037,1867.3515270862624,1939.9883242518588,1854.5280497572073,12.823477329055194,-12.823477329055194
68731,3009144,2023-09-03,462,461,1963.3464443234486,1836.6551073552596,1974.5465191141318,1825.4550325645764,11.200074790683113,-11.200074790683113
68731,3009143,2023-09-03,508,459,1766.5880614104772,1704.6817396179129,1775.063588562979,1696.206212465411,8.47552715250175,-8.47552715250175
